COURSE		SUBSTITUTION    (2014 Line 87)
PRE	NO		PRE NO	 PRE NO   PRE NO
--- ----	---	---- --- ---- --- ----
HUMN	2563	PHIL 2753
ENGL	1213	ENGL 1223
ACCT	2803	ITC 1123
MATH	1403	MATH 1453
MATH	1403	MATH 2805
STAT	2503	MATH 2403
STAT	2503	MATH 2503
STAT	2503	PSYC 2503
STAT	2503	MATH 2805
PHYS	2784	PHSC 1754
ITD	4224	ITD 4223
ACCT	2803	ITC 2732
FORL	1304	PHIL 2753
PHYS	2784	PHSC 2654
PHYS	2784	PHSC 2754
CHEM	1304	PHSC 2654
CHEM	1304	PHSC 2754
HUMN	2563	MUSI 2763
PHYS	2784	BIOL 1154
CHEM	1304	BIOL 1154
POLS	2753	HIST 2753
MATH	2753	MATH 2403
FORL	1304	SPAN 1304
MATH	2403	MATH 2753
CS	1014	ITC 2324
CS	1014	ITC 1374
CS	1014	CS 1013
CS	1033	ITC 1403
CS	1044	ITC 1614
CS	1044	CS 1043
CS	1024	ITC 2334
CS	1024	CS 1023
CS	2003	ITP 3413
CS	2013	ITC 2513 ITC 2524
CS	2033	ITC 1143 ITC 2753
CS	1053	ITC 2624
CS	3033	ITF 3444
CS	3003	ITF 3634
CS	3503	ITF 4123
CS	4003	ITF 4104
CS	4023	ITF 4114
CS	3203	ITN 3113
CS	3213	ITN 3133
CS	3223	ITN 3214
CS	4203	ITN 3224
CS	4213	ITN 3234
CS	4503	ITN 4344
CS	4003	ITN 4353
